Date,Name,Year,Letterboxd URI,Rating
2024-12-01,Deadpool & Wolverine,2024,https://boxd.it/jq8s,2.5
2024-12-06,John Wick,2014,https://boxd.it/7dEc,5
2024-12-06,John Wick: Chapter 2,2017,https://boxd.it/ayGu,5
2024-12-30,How to Train Your Dragon,2010,https://boxd.it/1WRy,5
2025-01-07,Sonic the Hedgehog 2,2022,https://boxd.it/pb8O,3.5
2025-01-07,Sonic the Hedgehog,2020,https://boxd.it/gdK8,3
2025-01-18,The Straight Story,1999,https://boxd.it/2ass,5
2025-01-19,Mulholland Drive,2001,https://boxd.it/297o,5
2025-01-30,Sonic the Hedgehog 3,2024,https://boxd.it/zq0U,4
2025-02-03,David Lynch: The Art Life,2016,https://boxd.it/eASq,3
2025-02-23,Eraserhead,1977,https://boxd.it/299u,5
2025-05-11,Soldier Monika,2024,https://boxd.it/LhRk,3.5
2025-07-04,The Hunger Games,2012,https://boxd.it/2uds,2.5
2025-07-04,Ballerina,2025,https://boxd.it/jKqG,4
2025-07-04,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,3
2025-07-04,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,4
2025-07-20,Superman,2025,https://boxd.it/E9IU,3.5
2025-07-20,Dominion,2018,https://boxd.it/gXqy,4
2025-07-28,Okja,2017,https://boxd.it/dvXe,4
2025-07-29,Challengers,2024,https://boxd.it/zld0,3
2025-08-02,BlackBerry,2023,https://boxd.it/CoVK,4
2025-08-13,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,3
2025-08-21,Weapons,2025,https://boxd.it/EMTM,3
2025-08-21,Predator: Killer of Killers,2025,https://boxd.it/QYvQ,3
2025-08-23,AVP: Alien vs. Predator,2004,https://boxd.it/2atU,1.5
2025-08-24,Alien: Romulus,2024,https://boxd.it/zGqO,4.5
